Scene,Start,End,Visual,Speaker,Dialogue,Animation Direction
1,"00:00:00,000","00:00:10,000",صخرة عالية على البحر، بينجو واقف لوحده وينظر للسماء.,بينجو,يا سلام… شوفوا الطيور! أكيد النجاح يعني إنك تطير.,كاميرا تدخل ببطء من البحر للصخرة، طيور بعيدة في الخلفية.
2,"00:00:10,000","00:00:20,000",طيور تطير بثقة فوق البحر وبينجو يتابعها بإعجاب.,عصفور / بينجو,"السماء دي للخفاف والسريعين!
وأنا كمان لازم أبقى زيهم.",حركة طيران ناعمة للطيور، لقطة قريبة لعين بينجو المتحمسة.
3,"00:00:20,000","00:00:30,000",بينجو يلبس نظارة طيران قديمة ويستعد للقفز.,بينجو,النهارده هثبت إن البطريق يقدر يطير!,لقطة قريبة على النظارة، ضوء الشمس يلمع عليها.
4,"00:00:30,000","00:00:40,000",بينجو يجري ناحية طرف الصخرة ويقفز.,بينجو,واحد… اتنين… تلاتة… طيراااان!,جري سريع، لحظة قفز Slow motion، موسيقى حماسية قصيرة.
5,"00:00:40,000","00:00:50,000",بينجو يقع على الأرض والطيور تضحك.,نورس / بينجو,"هاهاها! الطيران مش لأي حد يا كابتن.
يمكن محتاج أحاول أكتر.",سقوط كرتوني خفيف، غبار، اهتزاز بسيط في الكاميرا.
6,"00:00:50,000","00:01:00,000",الصقر ينظر له بتكبر من فوق صخرة أعلى.,صقر / بينجو,"اللي مبيعرفش يطير، ملوش مكان وسطنا.
بس أنا مش عاوز أبقى أقل منكم.",زاوية كاميرا منخفضة على الصقر لإظهار الغرور، بينجو محرج.
7,"00:01:00,000","00:01:10,000",مونتاج لمحاولات فاشلة متكررة.,بينجو / نورس,"تاني… تاني… لازم أنجح!
لسه بتحاول؟!",مونتاج سريع: قفزة، سقوط، قفزة، سقوط، مع تغيرات إضاءة بسيطة.
8,"00:01:10,000","00:01:20,000",غروب الشمس، بينجو يجلس حزينًا على طرف الصخرة.,بينجو,أنا عملت كل حاجة… يمكن فعلًا مفيش مني فايدة.,إضاءة برتقالية حزينة، حركة كاميرا بطيئة للخلف.
9,"00:01:20,000","00:01:30,000",بينجو يرمي نظارة الطيران على الأرض.,بينجو,لو النجاح هو الطيران… فأنا فشلت.,النظارة تسقط ببطء، صوت ارتطام خفيف، صمت درامي.
10,"00:01:30,000","00:01:40,000",بينجو يتراجع بحزن، يتعثر ويسقط من الصخرة ناحية البحر.,بينجو / الطيور,"آآآه!
بينجووو!",سقوط درامي، الطيور تصرخ، انتقال سريع من السماء للبحر.
11,"00:01:40,000","00:01:50,000",بينجو يدخل تحت الماء، فقاعات وصمت، عينه تفتح بدهشة.,بينجو,أنا… أنا مش بغرق؟,الصوت يصبح مكتومًا تحت الماء، فقاعات تمر أمام الكاميرا.
12,"00:01:50,000","00:02:00,000",بينجو يحرك زعانفه ويبدأ يتحرك بسهولة.,بينجو,استنى… أنا بتحرك! الزعانف دي بتساعدني!,الحركة تبدأ بطيئة ثم تتحول لانسيابية وثقة.
13,"00:02:00,000","00:02:10,000",بينجو يسبح بسرعة بين الأسماك والشعاب المرجانية.,بينجو,أنا سريع! أنا خفيف! أنا حر!,كاميرا تتبعه بسرعة، ألوان البحر مشرقة، موسيقى ملهمة.
14,"00:02:10,000","00:02:20,000",مقارنة بصرية: فوق الماء الزعانف فاشلة، تحت الماء مصدر القوة.,بينجو,نفس الزعانف اللي ضحكوا عليها فوق… هي سر قوتي هنا.,Split screen أو انتقال بين السماء والبحر.
15,"00:02:20,000","00:02:30,000",بينجو يبتسم بثقة تحت الماء.,بينجو,أنا مش فاشل… أنا كنت في المكان الغلط.,لقطة قريبة ملهمة، إضاءة زرقاء ناعمة حوله.
16,"00:02:30,000","00:02:40,000",الطيور تنظر من فوق، وبينجو يسبح بثقة تحتهم.,بينجو,السماء بتاعتكم… لكن البحر ده عالمي.,زاوية نصفها فوق الماء ونصفها تحت الماء.
17,"00:02:40,000","00:02:50,000",بطاريق صغيرة تقف مترددة أمام البحر، وبينجو يشجعها.,بطريق صغير / بينجو,"أنا خايف أجرب.
متقيسش نفسك بسما غيرك. جرب محيطك.",بينجو يمد زعنفته للبطريق الصغير، حركة دافئة وقيادية.
18,"00:02:50,000","00:03:00,000",بينجو يقود مجموعة بطاريق تسبح في البحر، ظهور العنوان النهائي.,بينجو,اكتشف قوتك… اختار بيئتك… ثم قُد منها.,لقطة ختامية واسعة، البطاريق تسبح خلف بينجو، عنوان يظهر تدريجيًا.
